Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390930570.288	,4.700,0,1,0,NO,"""1023;1023""",FLOAT16;FLOAT16,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.164,6871,0.105,0.025,0.911,0.219,1.248,0.3,0.472,0.113,0.161,0.000
0,4294967295,1,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390933516.408	,4.180,2941.550000,1,0,NO,"""1023;1023""",FLOAT;FLOAT,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.619,5972,0.313,0.086,0.636,0.176,0.981,0.271,0.384,0.106,0.048,0.000
0,4294967295,2,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390935755.388	,2.000,2234.820000,1,0,NO,"""1023;1023""",INT32;INT32,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.436,2370,0.081,0.057,0.415,0.289,0.322,0.224,0.21,0.146,0.167,0.000
0,4294967295,3,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390937996.288	,3.920,2238.750000,1,0,NO,"""1023;1023""",INT8;INT8,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.462,5713,0.165,0.048,0.555,0.16,0.881,0.254,0.385,0.111,0.179,0.000
0,4294967295,4,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390940196.888	,1.900,2196.830000,1,0,NO,"""1023;1023""",UINT8;UINT8,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445,2384,0.165,0.114,0.401,0.278,0.277,0.192,0.208,0.144,0.179,0.000
0,4294967295,5,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390942391.128	,3.680,2192.350000,1,0,NO,"""1023;1023""",BOOL;BOOL,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205,5289,0.165,0.051,0.539,0.168,0.782,0.244,0.373,0.116,0.179,0.000
0,4294967295,6,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390944551.228	,2.140,2156.320000,1,0,NO,"""1023;1023""",DT_BF16;DT_BF16,ND;ND,"""1023""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.658,2735,0.361,0.218,0.465,0.28,0.29,0.175,0.205,0.124,0.073,0.000
0,4294967295,7,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390946706.568	,3.760,2153.110000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.236,5339,0.091,0.028,0.593,0.183,0.889,0.275,0.305,0.094,0.161,0.000
0,4294967295,8,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390948865.168	,2.220,2154.990000,1,0,NO,"""1024;1024""",FLOAT;FLOAT,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.681,2773,0.286,0.17,0.457,0.272,0.436,0.26,0.132,0.078,0.18,0.000
0,4294967295,9,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390951008.068	,4.120,2140.530000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.559,5872,0.074,0.021,0.605,0.17,1.153,0.324,0.318,0.089,0.167,0.000
0,4294967295,10,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390953105.148	,2.100,2093.130000,1,0,NO,"""1024;1024""",INT8;INT8,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544,2548,0.136,0.088,0.427,0.277,0.437,0.283,0.136,0.088,0.179,0.000
0,4294967295,11,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390955249.688	,3.780,2142.400000,1,0,NO,"""1024;1024""",UINT8;UINT8,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.262,5383,0.136,0.042,0.598,0.183,0.813,0.249,0.319,0.098,0.179,0.000
0,4294967295,12,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390957383.888	,2.000,2130.470000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488,2455,0.136,0.091,0.566,0.38,0.237,0.159,0.13,0.088,0.179,0.000
0,4294967295,13,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390959527.348	,4.060,2141.250000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524,5814,0.327,0.093,0.622,0.177,0.927,0.263,0.303,0.086,0.172,0.000
0,4294967295,14,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390962365.928	,9.140,2834.690000,40,0,NO,"""131072;131072""",FLOAT16;FLOAT16,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167,407005,0.159,0.026,0.441,0.072,2.393,0.388,0.716,0.116,0.215,0.000
0,4294967295,15,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390966642.708	,10.580,4267.610000,40,0,NO,"""131072;131072""",FLOAT;FLOAT,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562,499087,0.82,0.109,0.374,0.049,3.302,0.437,0.427,0.057,0.051,0.000
0,4294967295,16,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390970274.988	,9.840,3621.670000,40,0,NO,"""131072;131072""",INT32;INT32,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.654,439132,0.124,0.019,0.159,0.024,2.491,0.374,0.511,0.077,0.232,0.000
0,4294967295,17,2,NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1762194390972898.768	,7.800,2613.910000,40,0,NO,"""131072;131072""",INT8;INT8,ND;ND,"""131072""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082,335415,0.25,0.049,0.143,0.028,1.524,0.3,0.819,0.161,0.191,0.000
